mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.586,0.706,1.909,0.534,1.018,0.037000000000000005,3.498,28.479,0.0
0.672,0.67,1.355,0.363,0.932,0.054000000000000006,2.7039999999999997,24.381999999999998,0.0
0.708,0.728,1.013,0.313,0.775,0.062,2.164,25.465999999999998,0.0
0.682,0.7659999999999999,1.037,0.265,0.659,0.057,2.0180000000000002,25.921,0.0
0.7070000000000001,0.8079999999999999,0.865,0.23600000000000002,0.536,0.062,1.699,27.535999999999998,0.0
0.693,0.8240000000000001,0.718,0.204,0.49200000000000005,0.066,1.48,27.433000000000003,0.0
0.726,0.856,0.858,0.2,0.408,0.055999999999999994,1.5219999999999998,26.234,0.0
0.737,0.866,0.754,0.179,0.38299999999999995,0.053,1.369,27.741,0.0
0.73,0.885,0.71,0.18100000000000002,0.358,0.057999999999999996,1.307,25.715,0.0
0.71,0.89,0.665,0.153,0.302,0.052000000000000005,1.172,26.963,0.0
0.728,0.9059999999999999,0.672,0.158,0.29,0.055,1.176,26.406999999999996,0.0
0.7140000000000001,0.9229999999999999,0.5529999999999999,0.14800000000000002,0.233,0.052000000000000005,0.986,27.925,0.0
0.74,0.92,0.6859999999999999,0.146,0.23199999999999998,0.044000000000000004,1.1079999999999999,27.379,0.0
0.718,0.9390000000000001,0.55,0.139,0.185,0.043,0.917,28.675,0.0
0.736,0.948,0.532,0.14300000000000002,0.183,0.045,0.903,27.389,0.0
0.708,0.941,0.539,0.12,0.17600000000000002,0.046,0.8809999999999999,26.772,0.0
0.718,0.955,0.508,0.12,0.151,0.032,0.8109999999999999,26.679000000000002,0.0
0.73,0.938,0.473,0.14,0.201,0.041,0.854,27.506,0.0
0.726,0.948,0.455,0.129,0.166,0.038,0.788,27.384,0.0
0.75,0.942,0.358,0.119,0.181,0.054,0.711,26.6,0.0
0.714,0.958,0.41,0.121,0.139,0.04,0.71,27.121,0.0
0.737,0.96,0.47,0.12,0.141,0.044,0.776,27.171,0.0
